playlist_name,playlist_last_modified,added_date,track_name,artist_name,album_name,track_uri,track_key
Kpop -hits,2026-03-24,2025-09-29,3D (feat. Jack Harlow),Jung Kook,3D : The Remixes,spotify:track:01qFKNWq73UfEslI0GvumE,jung kook - 3d (feat. jack harlow)
Kpop -hits,2026-03-24,2025-09-29,Yes or No,Jung Kook,GOLDEN,spotify:track:2gkVEnpahpE3bQuvGuCpAV,jung kook - yes or no
Kpop -hits,2026-03-24,2025-09-29,Standing Next to You,Jung Kook,GOLDEN,spotify:track:2KslE17cAJNHTsI2MI0jb2,jung kook - standing next to you
Kpop -hits,2026-03-24,2025-09-29,Mantra,JENNIE,Ruby,spotify:track:1kUyOJb3fzUo8r0OCz5SQk,jennie - mantra
Kpop -hits,2026-03-24,2025-09-29,Seven (feat. Latto) (Clean Ver.),Jung Kook,GOLDEN,spotify:track:7Hcj0duTWiCSYDtJaztNIt,jung kook - seven (feat. latto) (clean ver.)
Kpop -hits,2026-03-24,2025-09-29,Still With You,Jung Kook,Still With You,spotify:track:0eFMbKCRw8KByXyWBw8WO7,jung kook - still with you
Kpop -hits,2026-03-24,2025-09-29,Pretty Boy,P1Harmony,DUH!,spotify:track:4etRRTZx5odrdgKiZqGSZ6,p1harmony - pretty boy
Kpop -hits,2026-03-24,2025-09-29,WORK,ATEEZ,GOLDEN HOUR : Part.1,spotify:track:3VHD84tIdyxRTtRc167YSR,ateez - work
Kpop -hits,2026-03-24,2025-09-29,Christmas Tree,V,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",spotify:track:186NCtNk1tUYS7c2DxgJ7O,v - christmas tree
Kpop -hits,2026-03-24,2025-09-29,The First Snow,EXO,Miracles in December,spotify:track:2VNpT9fRk1kyksT0S4coZR,exo - the first snow
Kpop -hits,2026-03-24,2025-09-29,Gabriela,KATSEYE,Gabriela,spotify:track:1xOqGUkyxGQRdCvGpvWKmL,katseye - gabriela
Kpop -hits,2026-03-24,2025-09-29,Takedown,HUNTR/X,KPop Demon Hunters,spotify:track:0MHStU0muAIEMbwdnebYu2,huntr/x - takedown
Kpop -hits,2026-03-24,2025-09-29,Soda Pop,Saja Boys,KPop Demon Hunters,spotify:track:02sy7FAs8dkDNYsHp4Ul3f,saja boys - soda pop
Kpop -hits,2026-03-24,2025-09-29,Free,Rumi,KPop Demon Hunters,spotify:track:5DxDLsW6PsLz5gkwC7Mk5S,rumi - free
